{'instruction': 4161998, 'rip': '0x180c25ca4', 'access': 'write', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x1'}
{'instruction': 4161999, 'rip': '0x180c25ca6', 'access': 'write', 'address': '0x7ffe1febc0', 'size': 8, 'value': '0x0'}
{'instruction': 4162000, 'rip': '0x180c25ca7', 'access': 'read', 'address': '0x7ffe1febc0', 'size': 8, 'value': '0x0'}
{'instruction': 4162001, 'rip': '0x180c25ca9', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162002, 'rip': '0x180c25cae', 'access': 'read', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4162004, 'rip': '0x180c25ae4', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162004, 'rip': '0x180c25ae4', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162006, 'rip': '0x180c25aee', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x7ffe1febd0'}
{'instruction': 4162007, 'rip': '0x180c25af2', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162007, 'rip': '0x180c25af2', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x7ffe1febd8'}
{'instruction': 4162008, 'rip': '0x180c25af7', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162008, 'rip': '0x180c25af7', 'access': 'write', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x7ffe1febd8'}
{'instruction': 4162009, 'rip': '0x180c25afa', 'access': 'read', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4162012, 'rip': '0x180c25b06', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '-0x1144'}
{'instruction': 4162015, 'rip': '0x180c25b0e', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162015, 'rip': '0x180c25b0e', 'access': 'write', 'address': '0x7ffe1febc8', 'size': 8, 'value': '-0x1144'}
{'instruction': 4162017, 'rip': '0x180c25a01', 'access': 'read', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4162017, 'rip': '0x180c25a01', 'access': 'write', 'address': '0x7ffe1febc0', 'size': 8, 'value': '-0x1144'}
{'instruction': 4162018, 'rip': '0x180c25a04', 'access': 'read', 'address': '0x7ffe1febc0', 'size': 8, 'value': '0x0'}
{'instruction': 4162034, 'rip': '0x180c25db7', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162034, 'rip': '0x180c25db7', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162035, 'rip': '0x180c25dba', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162035, 'rip': '0x180c25dba', 'access': 'write', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4162036, 'rip': '0x180c25dbd', 'access': 'read', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4162047, 'rip': '0x180c25b3d', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x18098c884'}
{'instruction': 4162048, 'rip': '0x180c25b41', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162048, 'rip': '0x180c25b41', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x18098c884'}
{'instruction': 4162049, 'rip': '0x180c25b44', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162055, 'rip': '0x180c25b16', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x181b2a670'}
{'instruction': 4162056, 'rip': '0x180c25b1a', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x6f76a075'}
